Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.146.128-52.104.80.25-49697-443-6,192.168.146.128,49697,52.104.80.25,443,6,15/10/2025 09:58:24 上午,440417,0,3,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.811726159526086,220208.5,114332.80255683405,301054.0,139363.0,0,0,0,0,0,440417.0,220208.5,114332.80255683405,301054.0,139363.0,0,0,0,0,0,60,0.0,6.811726159526086,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,-1,64239,0,0,0,0,0,0,0,0,0,0,No Label
192.168.146.128-52.104.80.25-49697-443-6,192.168.146.128,49697,52.104.80.25,443,6,15/10/2025 09:58:25 上午,104322,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,19.171411591035447,104322.0,0.0,104322.0,104322.0,0,0,0,0,0,104322.0,104322.0,0.0,104322.0,104322.0,0,0,0,0,0,40,0.0,19.171411591035447,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,64239,0,0,0,0,0,0,0,0,0,0,No Label
192.168.146.128-192.168.146.2-63914-53-17,192.168.146.128,63914,192.168.146.2,53,17,15/10/2025 09:57:58 上午,148374,1,3,55.0,197.0,55.0,55.0,55.0,0.0,71.0,55.0,65.66666666666667,9.237604307034012,1698.4107727769015,26.958901155188915,49458.0,35498.92218082121,90048.0,24212.0,0,0,0,0,0,148374.0,74187.0,56671.780084977036,114260.0,34114.0,0,0,0,0,8,24,6.739725288797229,20.219175866391684,55.0,71.0,61.4,8.763560920082657,76.8,0,0,0,0,0,0,0,0,3.0,76.75,55.0,65.66666666666667,0,0,0,0,0,0,1,55,3,197,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
192.168.146.128-224.0.0.251-5353-5353-17,192.168.146.128,5353,224.0.0.251,5353,17,15/10/2025 09:58:18 上午,1012775,3,1,84.0,28.0,28.0,28.0,28.0,0.0,28.0,28.0,28.0,0.0,110.58724790797561,3.9495445681419863,337591.6666666666,583988.0673749537,1011923.0,376.0,1012299.0,506149.5,715271.7431889086,1011923.0,376.0,0,0,0,0,0,0,0,0,0,24,8,2.9621584261064897,0.9873861420354966,28.0,28.0,28.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,35.0,28.0,28.0,0,0,0,0,0,0,3,84,1,28,-1,-1,3,0,0,0,0,0,0,0,0,0,No Label
192.168.146.128-10.249.11.229-49759-7680-6,192.168.146.128,49759,10.249.11.229,7680,6,15/10/2025 09:58:00 上午,26233648,2195,15410,779.0,2.2136011E7,77.0,0.0,0.3548974943052386,3.1164379407328906,1460.0,0.0,1436.470538611286,143.60971853377927,843831.9367554219,671.0847077005836,1490.2094978413995,4681.1289392341005,72524.0,0.0,2.6190274E7,11937.226071103014,7438.044424133894,72625.0,86.0,2.6233554E7,1702.4825751184414,5025.945654249405,72609.0,0.0,0,0,0,0,43900,308216,83.67116917936842,587.4135385212152,0.0,1460.0,1257.3435192547981,493.1793329972665,243225.85449562865,0,1,0,0,0,0,0,0,7.0,1257.4149389378017,0.3548974943052392,1436.4705386112914,0,0,0,0,0,0,2195,779,15410,22136011,-1,64240,49,0,0,0,0,0,0,0,0,0,No Label
192.168.146.128-52.104.80.25-49697-443-6,192.168.146.128,49697,52.104.80.25,443,6,15/10/2025 09:58:25 上午,134074,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,14.917135313334427,134074.0,0.0,134074.0,134074.0,0,0,0,0,0,134074.0,134074.0,0.0,134074.0,134074.0,0,0,0,0,0,40,0.0,14.917135313334427,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,32767,0,0,0,0,0,0,0,0,0,0,No Label
192.168.146.128-116.153.62.61-49755-80-6,192.168.146.128,49755,116.153.62.61,80,6,15/10/2025 09:57:58 上午,23916434,291,5359,4199.0,7672202.0,352.0,0.0,14.429553264604818,69.7013161168455,1460.0,0.0,1431.6480686695288,174.8451660039152,320967.62418678304,236.2392319858387,4233.746503805991,110766.24040228644,4817990.0,0.0,2.3810465E7,82105.0517241379,483320.2619749887,4817990.0,90.0,2.391641E7,4463.682344158266,115979.58393783047,4911156.0,0.0,0,0,0,0,5820,107196,12.167365753606914,224.0718662322318,0.0,1460.0,1358.4146168819693,357.3317685865282,127685.99284117612,0,1,0,0,0,0,0,0,18.0,1358.6550442477876,14.429553264604811,1431.648068669528,0,0,0,0,0,0,291,4199,5359,7672202,-1,64240,12,0,0,0,0,0,0,0,0,0,No Label
192.168.146.128-96.16.69.217-49746-443-6,192.168.146.128,49746,96.16.69.217,443,6,15/10/2025 09:57:55 上午,1175306,7,13,671.0,7143.0,325.0,0.0,95.85714285714285,132.65296650964697,1460.0,0.0,549.4615384615385,611.977343723417,6648.48133167022,17.016844974840595,61858.210526315794,88155.96056962466,218858.0,0.0,975562.0,162593.66666666666,116151.4242903059,321970.0,555.0,1175240.0,97936.66666666667,96617.67323305657,218858.0,0.0,0,0,0,0,140,276,5.955895741194208,11.060949233646387,0.0,1460.0,372.095238095238,532.97972801617,284067.39047619054,0,1,0,0,0,0,0,0,1.0,390.7,95.85714285714286,549.4615384615385,0,0,0,0,0,0,7,671,13,7143,-1,64240,3,0,0,0,0,0,0,0,0,0,No Label
192.168.146.128-192.168.146.2-53125-53-17,192.168.146.128,53125,192.168.146.2,53,17,15/10/2025 09:57:55 上午,13976,0,2,0.0,223.0,0,0,0,0,169.0,54.0,111.5,81.31727983645297,15955.9244419004,143.10246136233542,13976.0,0.0,13976.0,13976.0,0,0,0,0,0,13976.0,13976.0,0.0,13976.0,13976.0,0,0,0,0,0,16,0.0,143.10246136233542,54.0,169.0,92.33333333333334,66.39528095680697,4408.333333333334,0,0,0,0,0,0,0,0,0.0,138.5,0.0,111.5,0,0,0,0,0,0,0,0,2,223,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
192.168.146.128-192.168.146.2-65293-53-17,192.168.146.128,65293,192.168.146.2,53,17,15/10/2025 09:57:58 上午,169045,1,3,50.0,578.0,50.0,50.0,50.0,0.0,272.0,50.0,192.66666666666666,123.81168496282301,3714.9871336034785,23.662338430595405,56348.333333333336,22525.44299971331,80887.0,36610.0,0,0,0,0,0,169045.0,84522.5,46632.98511247162,117497.0,51548.0,0,0,0,0,8,24,5.915584607648851,17.746753822946552,50.0,272.0,135.6,117.34905197742331,13770.8,0,0,0,0,0,0,0,0,3.0,169.5,50.0,192.66666666666666,0,0,0,0,0,0,1,50,3,578,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
